City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,timbuktu,16.7735,-3.0074,39.3,23,9,2.65,ML,1688415054
352,tanout,14.9709,8.8879,37.45,18,72,3.11,NE,1688415012
353,masuda,34.6667,131.85,22.31,95,100,1.04,JP,1688415055
354,lorengau,-2.0226,147.2712,27.5,81,97,4.21,PG,1688415055
355,jaca,42.569,-0.5499,21.18,65,82,0.29,ES,1688415055
356,pitangueiras,-21.0094,-48.2217,25.29,44,0,2.29,BR,1688415035
357,zhengjiatun,43.5064,123.5064,22.51,75,100,2.84,CN,1688415056
358,vilhena,-12.7406,-60.1458,30.77,21,73,0.96,BR,1688415056
359,hotan,37.0997,79.9269,25.69,11,8,3.2,CN,1688415056
360,qaisumah,28.3112,46.1273,32.93,15,3,3.88,SA,1688415057
361,bovalino,38.149,16.174,23.97,84,1,3.43,IT,1688415057
362,dudinka,69.4058,86.1778,13.68,56,43,0.31,RU,1688415057
363,annaba,36.9,7.7667,22.98,83,20,1.54,DZ,1688414850
